player,team,role,captain,starter
KingOfSpades,Divine Ascension,top,no,yes
Beg,Divine Ascension,jungle,no,yes
JayDK,Divine Ascension,mid,no,yes
Zygg,Divine Ascension,adc,no,yes
MagnumBuck,Divine Ascension,support,no,yes
Winter,Gamblers,top,no,yes
Zhaphh,Gamblers,jungle,no,yes
Fox,Gamblers,mid,no,yes
7gen,Gamblers,adc,no,yes
BlindHookers,Gamblers,support,no,yes
Sycoghost,Astronauts,top,no,yes
I fear nobody,Astronauts,jungle,no,yes
DeFaux,Astronauts,mid,no,yes
Balmer,Astronauts,adc,no,yes
08 Mitsu Eclipse,Astronauts,support,no,yes
Bleedinwolves,TD Phoenix,top,no,yes
Crabadabadoo,TD Phoenix,jungle,no,yes
Solomon,TD Phoenix,mid,no,yes
Humble,TD Phoenix,adc,no,yes
SpritesGambit,TD Phoenix,support,no,yes
ReginaldDwight,The Everstone Elite,top,no,yes
Sir Joey,The Everstone Elite,jungle,no,yes
Feral Eevee,The Everstone Elite,mid,no,yes
Matrix,The Everstone Elite,adc,no,yes
Ah0p,The Everstone Elite,support,no,yes
Canny,MetaShift,top,no,yes
Spies,MetaShift,jungle,no,yes
MetaShift,MetaShift,mid,no,yes
juanitosol,MetaShift,adc,no,yes
Little,MetaShift,support,no,yes
Lakuna,Flannel Equinox,jungle,no,yes
ChaoTiC,Flannel Equinox,mid,no,yes
Flyinq squirtle,Flannel Equinox,adc,no,yes
Sunset Diner,Flannel Equinox,support,no,yes
