display_name,riot_game_name,riot_tag_line,riot_puuid
KingOfSpades,KingOfSpades,205,V3-jgJezTyW9lZqvkwNkeJYowhuWLR-IsqZa0Tq1xQR6DzPPsMCsVsVztN5rrsSjcQssDFGhdulSyg
Beg,Beg,DU1,dwExqx-JDepmRrLquvHyW9Y7sc_rGDoX2U5kLUIrJH6SxAMffG7_Q8pWulB4zYpJ7VGIp3HmX0fNGw
JayDK,JayDK,NA1,gJcscz4CXu3WGq2lTbK2cGq5kFyHOJVcgAkRgop0257alxDzuVS2ONv_ulE-ez2mOnDNBvraKpt7jg
Zygg,Zygg,000,i4OhzbJz3LYv52VG86CTJtM3HPkOh44qwWl59E3wcUMfKFApntzpPqF8kBaBXr13gaf2CyYHbAK5wg
MagnumBuck,MagnumBuck,NA1,cMPXxL5dU774e60irRq5_n4O9-OaAxcHTTARrwmP8MqfLkeE6Gm_VOjOpXRV7zKFikZL0WkzbJMROw
Wranor,Wranor,Alive,LQRCqXhiBEU9GjBKYvQjGiYx3hxW5UpTXCCb-gHq5EPftgh-XlsQr_SgoRoFLMvazcutsradODxvFg
Angrodis,Angrodis,NA1,k1rQIWd_7mupm-aukO7mMph255OWKJomXrJTAGXuCwW5YjklYHZ1GIzWcmVTiPqm49_VaIvteAtnYw
zeldaguy0,zeldaguy0,NA1,lcudApFZcBlMc6lhTbEZQ8BdvXCdmQZBSNsu7MzZ4h1teEDqM2mJNMwDg4WViwlaen-KtNkCicHzwQ
MeleeVayne,MeleeVayne,NA1,FfDhcE_UB_h1nfIBgQtkObV5muwoYe1kgeOkA0EbutWI4wnBberm96Egsao-zDyDL1Q5jQs_1TxTLg
S3ntine1,S3ntine1,NA1,GHh0NlwuYAMwxiW7-SbXinBgZM7QjDeIEy8udgaP75l2ANKdbLuPC3z_9a3ByDn9YYQXleiOYeqLTA
Conguitos0,Conguitos0,01203,81DxRmYrMpd_P3ipM8Pl9sC5iYaZpN66CgOQWhGVJ9kdlXQDkvcBtH35J0C6X5N5UghClYhoyhj2Og
Lizzo Mukkbang,Lizzo Mukkbang,Mukk,HJ3poCdxfonWFGgynGtWmGPAAulelKMkxcPNHv4m5m75Hvp3fqVL518nFZKyuxjnWzdYUma2wb7idg
Thunder Master,Thunder Master,BLOOD,bRxuGyPdlR3nXq5qBk-G2YYiLZ5soBKK3DiHZ-EoJFXMlT8_hg2FW9fbZ3aC6Bkd7BAxpeHXQgsEOg
UnluckyCanadian,UnluckyCanadian,CDN,hTrJ8xUJLMvwh9VHujRATFipfyYO9qzsp4JntVac4ziqQoL1D-DMFzsstO1ekngGVyKPO-mlq8zU9A
Promech,Promech,NA1,FjR55q1YyQ1dUMzz5djeB3Y1c_LlpRqXOBbXO6RSWxJIRXa1-DhsnK7Cws6LEBwIvPLpCcfxeAV4rg
Cheongseolmo,Cheongseolmo,BDB,-BfswR_MmOuXbVIFfwPgH3p-E8OziVlaq0VukTd_FDGUcx46nOlFNi3gc4rIAqGFhYj4Y8o85F23ZA
Very Talonted,Very Talonted,NA1,3P_iC1P88N_xGeo2SHEToNw4G8Zs4Z3f1_WWHCKy-gPbXEBhXHTIsq5E43Yo8uGS4pu0tH9sdodswQ
lolcavan,lolcavan,NA1,_iDVRySjS837JXk0_4KeGMMk-cLcJXUeBT6rmR8HBXr2JYJH6RjimdrPxLiiIMlw_2F42GG1C6We1Q
AfkBoulder,AfkBoulder,C9WIN,LIHQJ1nIgtQbxKrGOFFzsYClIeHWRmZh_zpDUya6Dv8Xb4MK_Vu_TdsOf1NmfyrfqQ0x7_M45kE34Q
Winter,Winter,Ashtn,GNF9DZpWFomkl81HgtVBMkKbLK9R9n0H5cSEf1ilhAVrIWHhWu4LEM9tfBS0lz7UKY2Mz_b6mYXM3A
Fox,Fox,1Fox,Eo6cM2ZEFAby2wgTI3_lJa49IhPvDZSTqQgOdyE-ZudDX6r88t8Muk0n66_QbgAyKIlz74CggHCf7Q
7gen,7gen,4444,7ZCIJZ1T6RNlcyo-LgL6xFnXWAEl32JUNrHpk4ogEr8nrcX4BrpRCGVgO_QdMYQ1WYOtd079EEqi1Q
BlindHookers,BlindHookers,Cheap,yRKTpn0Hl171SZxII0QOIWdgWtzR-KLTBQn0_UqbuOOYb89_aXzsFbWE3ZWhrc_1Ms9RHaNZKUIAZg
Sycoghost,Sycoghost,1402,K8K2b8dhW74gCwPJXJv2jRfbCizqiBHCq_Wu04IG92fjDwvHhM8rHxBFGbPhLSz2T_GT27RPk2iDlA
I fear nobody,I fear nobody,NA1,Di7lmsthRlyVNSW5DPkMpZixW65oZ8xL73wawwZDJDmLWNLBcBcqTo0u6PIGKnZuS8AAc7uh6UjmWg
DeFaux,DeFaux,TTM,PNTRGH4wbhhrElj4G17X53JMtMfNJp1csBhvEIhmuqBYzQH3mzBvGNawEMGvAl6karXHMWmq6Qn2CA
Balmer,Balmer,024,PzSib4WXwlra4YI7txf2MRzG5FHxNjOvG9TZ4PqS5nUWCvjxeBh58VUXosagQIdbm7lfA5ioQdP_-Q
08 Mitsu Eclipse,08 Mitsu Eclipse,Chime,wuRzQV4jXNSH_OhjY0m_nmtGz-BeCQ5nThwOtkutGlGKNAPtaKF1n6cJFgWFfKMWjzYvOkyBLTjsRg
Zhaphh,Zhaphh,N A1,DeOk4pPSBxUHM8XSMFZcZoAIHk2HoCMPiispu8qvlNE2jW0YPidYT_C2LT87FP6k8nNf47YJ0f_vjg
Bleedinwolves,Bleedinwolves,IlIll,ZDr7LcunkeFAKhq3Z0vt6EeDplKTqpXumKbK6QOTET65ToWpI3lAgotH8kxe4rlfIUpfcfLSmdHLHA
Crabadabadoo,Crabadabadoo,NA1,xs1rboBwxYbbthhBo9M50XyvJPhahrayJzMkzX6WDXJtUCOZ0rqmu5_Dk5uB1jF3jB3ECWWm6PT4NA
Solomon,Solomon,meow,F_OUaSzuyjbVb1cYYoolKbIVUW0aSVKaUS21-0_Tp2GIF_TvQKAReHYpHsByWLsePOrc3qGS6jj5iQ
